,descriptions
0,"Deep, luscious and tripped out Trance / Techno / Bass to Ambient / Electronic compilation"
1,"Richly textured, Dave Huismans prod. dubby Ambient (Electronica) immersion"
2,Smart stepping UK Bass / Breakbeat cuts
3,Heavy Techno thunderstorm
4,Atmospheric dubby Techno tools
5,"Highly effective, groovy Techno DJ tools"
6,"Out-there, Alexander Tucker prod. Industrial / Goth / Folk rhythm abstractions"
7,"Punchy, percussively driving Techno DJ tool compilation"
8,Classic dark Techno patterns
9,"Deep, warm diving to proper, functional Techno tunes"
10,Enchanted 'proto-Goa Trance' / Chillout cuts
11,"Classy, UK Bass & computer musics leaning avant-club deconstructions"
12,Raw infectious Electro(-Techno) slammers
13,"Luxurious, carefree, golden early 90s leaning House bliss"
14,Moody Dub (Garage) electronics / Ambient EP
15,"Forward, metallic, boomy & fierce Techno tracks"
16,"Beautiful, 90s Detroit oriented Techno / House mini-compilation w/ killer Aubrey cut"
17,Superb Deep House tunes
18,Warehouse Techno
19,Highly effective stripped down House cuts
20,"Precise collection of profoundly sharp, reduced Techno hypnotics"
21,Deep acidic Techno
22,"Warm, atmospheric to raw, stomping & rolling dubby Techno tracks"
23,Elektro Rave
24,Driving Techno Trance
25,"Vibrant, warm & tripped out percussive, polyrhythmic (Dub) Electronic journey"
26,"Fresh & rhythm focused, hypnotic, sonic exploring IDM / Techno EP"
27,Relentless driving Techno cuts
28,"Warm, percussive Techno tunes"
29,Solid Techno compilation
30,"Vibrant, transformative & poetic Jazz-Techno EP"
31,Spaced out to boomy & effective Techno tracks
32,"Punchy, effective & spacey big room Techno tracks"
33,"Raw, Beau Wanzer co-prod. 80s Chicago inspired House trips"
34,"Highly effective, stripped down, punchy Techno"
35,Glistening Kuduro infused Tech House stompers
36,"Reissue of warm, raw to jacking Techno from 1994"
37,"Playful, chordish Techno grooves"
38,Dark atmospheric Techno tracks
39,"Pure, effectively stripped down Techno tracks"
40,Hard optimized bleepy Techno
41,"Beautiful, off-kilter, jazzy Deep House warmth & Senegalese drumming"
42,Highly effective 90s Trance infected Techno
43,"Superb energetic, straight to dreamy, breaky Techno"
44,Excellent Techno
45,"Reissue of superb, original, dubbed out UK Techno album from 1993"
46,Compilation of 1980s Japanese Electro-Pop / proto-Techno gems
47,Laid-back Dub Techno delights
48,Kicking Techno patterns
49,Excellent deep Dub Garage / Techno EP
50,"Beautiful extended Dub Electronica explorations, transparent vinyl & obi strip - Tip. (one per customer)"
51,"Diverse, comprehensive, stepping Electro-Techno EP"
52,Diverse leftfield D&B-Electro / Techno / House EP
53,Highly effective stripped down Techno
54,"Highly optimized, varied, partly Tribal leaning big room Techno compilation"
55,"Highly optimized, varied, big room Techno compilation *re-press"
56,"Slammin, slightly ""ravey"" Techno tools"
57,Flawless Techno business
58,Stunning atmospheric Dub Techno / Garage hybrid rollers
59,"Fresh, outstanding, smart-stepping Techno album, gatefold cover"
60,"On-point, original Detroit Techno killers - Tip."
61,Current Dancehall heat on 'Corduroy' inspired riddims
62,Sublime Ambient Electronica delights
63,Superb Deep House tunes
64,Expertly prod. (Electronica-)Techno EP
65,Stripped down bleepy Techno w/ awesome Wata Igarashi Remix
66,Fresh dreamy Electro cuts
67,"Minimal, functional Tech House track"
68,Flawless Techno business
69,Fast-paced ravey Techno slammer
70,"Highly expected re-issue of wide, warmest, chordish Dub Techno bliss / 2025 pressing (one copy per customer)"
71,Highly expected re-issue of René Löwe prod. classy Dub Techno winners / 2025 pressing
72,"Re-press 2024 of classic, perfect ’liquid’ Drum & Bass"
73,"Re-press 2024 of unstoppable, deep, warm House flavored Drum & Bass club cuts from 2004"
74,Re-press 2024 of classic 2004 ’liquid’ style Drum & Bass anthems
75,"Re-press of ""Red hot anthem alert Drum & Bass cuts from 2004"""
76,Anthem alert - classic early 2000s dream team Drum & Bass in ’liquid’ style
77,Pretty raw Techno
78,"Raw, pushing Techno"
79,"Pretty raw, hard Techno cuts"
80,Eclectic & rhythmic House / Electronic blends
81,"Reissue of wonderful 1997 Ambient classic, gatefold cover (w/ download code)"
82,"Reissue of icy Ambient performed in Tromsø, Norway in 1995"
83,"Exploring, functional & energetic Techno mini compilation"
84,Proper Dubstep tunes
85,Warm Deep House perfectionism
86,"The one and only! Multi-diverse breakbeat-ish, melodic Luke Vibert awesomeness"
87,Orson Bramley & James Preston prod. blistering Electro-Techno
88,"Slick, groovy & stripped down Techno trips"
89,Reissue of sought-after 1980s NYC Boogie gem
90,"Lethal, stealthily grooving Techno missiles"
91,"Superb, off-kilter House warmth"
92,Raw Techno tools
93,Sub heavily grooving Ambient Electronica / Ambient Techno hybrids
94,"Early 90s Mika Vainio prod. eternal minimalist Techno manifesto, 2025 repress"
95,In full effect & in 90s school Techno explorer mode
96,Heavy dark Techno bangers
97,"Hypnotic, bleepy Techno patterns"
98,Magnificent collaboration of two House music masters
